iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
2990,196018176,4.2472,,,0.000233,55739,5.92,0.0000,,,,,
3000,196608000,4.2165,4.3417,76.84,0.000232,,5.92,,,,,,
3000,196673536,4.3497,,,0.000232,5144,5.38,0.0000,,,,,
3000,196673536,,,,,,,,0.7271,6.86488,4.02591,3.0799,
3010,197328896,4.3104,,,0.000232,55856,5.44,0.0000,,,,,
3020,197984256,4.3366,,,0.000232,55724,5.48,0.0000,,,,,
3030,198639616,4.2132,,,0.000231,55991,5.53,0.0000,,,,,
3040,199294976,4.2522,,,0.000231,55691,5.57,0.0000,,,,,
3050,199950336,4.2515,,,0.000230,55669,5.60,0.0000,,,,,
3060,200605696,4.3872,,,0.000230,55696,5.63,0.0000,,,,,
3070,201261056,4.2784,,,0.000229,55685,5.66,0.0000,,,,,
3080,201916416,4.2803,,,0.000229,55818,5.68,0.0000,,,,,
3090,202571776,4.0975,,,0.000228,55685,5.71,0.0000,,,,,
3100,203227136,4.0914,,,0.000228,55722,5.73,0.0000,,,,,
3110,203882496,4.1759,,,0.000227,55921,5.75,0.0000,,,,,
3120,204537856,4.0744,,,0.000227,55774,5.76,0.0000,,,,,
3130,205193216,4.0798,,,0.000226,55750,5.78,0.0000,,,,,
3140,205848576,4.2298,,,0.000226,55729,5.79,0.0000,,,,,
3150,206503936,4.2983,,,0.000225,55554,5.80,0.0000,,,,,
3160,207159296,4.2042,,,0.000225,55801,5.81,0.0000,,,,,
3170,207814656,4.1406,,,0.000224,55668,5.82,0.0000,,,,,
3180,208470016,4.1836,,,0.000224,55673,5.83,0.0000,,,,,
3190,209125376,4.2348,,,0.000223,55992,5.84,0.0000,,,,,
3200,209780736,3.9986,,,0.000222,55635,5.84,0.0000,,,,,
3210,210436096,4.1476,,,0.000222,55751,5.85,0.0000,,,,,
3220,211091456,4.1588,,,0.000221,57556,5.88,0.0000,,,,,
3230,211746816,4.1210,,,0.000221,55815,5.88,0.0000,,,,,
3240,212402176,4.0058,,,0.000220,55838,5.88,0.0000,,,,,
3250,213057536,4.1829,,,0.000220,55927,5.89,0.0000,,,,,
3260,213712896,4.2571,,,0.000219,55916,5.89,0.0000,,,,,
3270,214368256,4.1713,,,0.000219,55763,5.89,0.0000,,,,,
3280,215023616,4.1959,,,0.000218,55833,5.90,0.0000,,,,,
3290,215678976,4.0814,,,0.000218,55688,5.90,0.0000,,,,,
3300,216334336,4.1697,,,0.000217,55716,5.90,0.0000,,,,,
3310,216989696,4.0901,,,0.000217,55593,5.90,0.0000,,,,,
3320,217645056,4.2375,,,0.000216,55988,5.90,0.0000,,,,,
3330,218300416,4.0973,,,0.000216,55874,5.90,0.0000,,,,,
3340,218955776,4.1950,,,0.000215,55805,5.90,0.0000,,,,,
3350,219611136,4.1158,,,0.000215,55842,5.91,0.0000,,,,,
3360,220266496,4.1204,,,0.000214,55628,5.90,0.0000,,,,,
3370,220921856,4.0311,,,0.000214,55760,5.91,0.0000,,,,,
3380,221577216,4.0948,,,0.000213,55847,5.91,0.0000,,,,,
3390,222232576,4.0138,,,0.000213,55741,5.91,0.0000,,,,,
3400,222887936,4.1298,,,0.000212,55691,5.91,0.0000,,,,,
3410,223543296,4.3585,,,0.000212,55699,5.91,0.0000,,,,,
