iter,tokens_seen,train_loss,val_loss,val_ppl,lr,tokens_per_sec,mfu,grad_norm,h_norm_mean,h_delta_mean,h_delta_min,attn_ent_mean,step_losses
2090,137035776,4.3911,,,0.000271,87066,20.10,0.0000,,,,,
2100,137691136,4.1175,,,0.000271,86997,20.17,0.0000,,,,,
2110,138346496,4.1359,,,0.000270,87068,20.23,0.0000,,,,,
2120,139001856,4.2858,,,0.000270,87439,20.30,0.0000,,,,,
2130,139657216,4.0310,,,0.000270,86980,20.35,0.0000,,,,,
2140,140312576,4.3184,,,0.000269,87208,20.40,0.0000,,,,,
2150,140967936,4.1476,,,0.000269,87061,20.44,0.0000,,,,,
2160,141623296,4.1527,,,0.000269,87719,20.50,0.0000,,,,,
2170,142278656,4.0732,,,0.000268,87361,20.54,0.0000,,,,,
2180,142934016,4.2431,,,0.000268,86896,20.56,0.0000,,,,,
2190,143589376,4.0047,,,0.000268,87312,20.59,0.0000,,,,,
2200,144244736,4.0631,,,0.000267,87294,20.62,0.0000,,,,,
2210,144900096,4.0302,,,0.000267,87135,20.64,0.0000,,,,,
2220,145555456,4.2291,,,0.000266,87325,20.67,0.0000,,,,,
2230,146210816,3.8652,,,0.000266,87147,20.68,0.0000,,,,,
2240,146866176,4.0063,,,0.000266,86993,20.69,0.0000,,,,,
2250,147521536,4.1598,,,0.000265,87228,20.71,0.0000,,,,,
2260,148176896,3.9924,,,0.000265,86966,20.72,0.0000,,,,,
2270,148832256,4.0983,,,0.000265,87239,20.73,0.0000,,,,,
2280,149487616,4.2171,,,0.000264,87210,20.74,0.0000,,,,,
2290,150142976,3.9007,,,0.000264,86839,20.75,0.0000,,,,,
2300,150798336,4.1927,,,0.000263,87571,20.77,0.0000,,,,,
2310,151453696,4.0294,,,0.000263,86845,20.77,0.0000,,,,,
2320,152109056,4.0717,,,0.000263,87664,20.79,0.0000,,,,,
2330,152764416,4.1054,,,0.000262,198217,23.45,0.0000,,,,,
2340,153419776,4.0963,,,0.000262,87323,23.19,0.0000,,,,,
2350,154075136,4.0798,,,0.000261,86967,22.95,0.0000,,,,,
2360,154730496,3.8401,,,0.000261,87088,22.74,0.0000,,,,,
2370,155385856,4.0348,,,0.000261,87247,22.55,0.0000,,,,,
2380,156041216,4.0217,,,0.000260,87287,22.38,0.0000,,,,,
2390,156696576,3.8148,,,0.000260,87032,22.23,0.0000,,,,,
2400,157351936,3.9556,,,0.000259,87183,22.09,0.0000,,,,,
2410,158007296,4.1207,,,0.000259,87083,21.96,0.0000,,,,,
2420,158662656,4.0644,,,0.000259,87296,21.85,0.0000,,,,,
2430,159318016,3.8341,,,0.000258,86966,21.75,0.0000,,,,,
2440,159973376,4.0653,,,0.000258,86975,21.65,0.0000,,,,,
2450,160628736,4.0721,,,0.000257,86900,21.56,0.0000,,,,,
2460,161284096,3.9901,,,0.000257,86746,21.48,0.0000,,,,,
2470,161939456,4.0723,,,0.000257,87350,21.42,0.0000,,,,,
2480,162594816,3.9841,,,0.000256,87089,21.36,0.0000,,,,,
2490,163250176,4.0835,,,0.000256,87291,21.31,0.0000,,,,,
2500,163840000,4.0100,4.1965,66.45,0.000255,,21.31,,,,,,
2500,163905536,4.0840,,,0.000255,7676,19.37,0.0000,,,,,
2510,164560896,3.9426,,,0.000255,87139,19.51,0.0000,,,,,
2520,165216256,3.9197,,,0.000254,86876,19.64,0.0000,,,,,
2530,165871616,4.1452,,,0.000254,87286,19.76,0.0000,,,,,
2540,166526976,3.9179,,,0.000254,87084,19.87,0.0000,,,,,
2550,167182336,3.9929,,,0.000253,87423,19.97,0.0000,,,,,
2560,167837696,3.9691,,,0.000253,87094,20.06,0.0000,,,,,
2570,168493056,3.9701,,,0.000252,87955,20.15,0.0000,,,,,
2580,169148416,3.8895,,,0.000252,87167,20.22,0.0000,,,,,
2590,169803776,3.9410,,,0.000251,87069,20.28,0.0000,,,,,
2600,170459136,4.0205,,,0.000251,87336,20.34,0.0000,,,,,
2610,171114496,3.9970,,,0.000251,86659,20.38,0.0000,,,,,
2620,171769856,3.9881,,,0.000250,86938,20.42,0.0000,,,,,
2630,172425216,4.0382,,,0.000250,87163,20.46,0.0000,,,,,
2640,173080576,3.8964,,,0.000249,86878,20.49,0.0000,,,,,
2650,173735936,4.1088,,,0.000249,87305,20.53,0.0000,,,,,
2660,174391296,3.9077,,,0.000248,87023,20.56,0.0000,,,,,
2670,175046656,4.2047,,,0.000248,87371,20.59,0.0000,,,,,
2680,175702016,4.0592,,,0.000248,86918,20.61,0.0000,,,,,
2690,176357376,4.0413,,,0.000247,86855,20.63,0.0000,,,,,
2700,177012736,4.0065,,,0.000247,87461,20.66,0.0000,,,,,
2710,177668096,3.9858,,,0.000246,87281,20.68,0.0000,,,,,
2720,178323456,3.8919,,,0.000246,87349,20.70,0.0000,,,,,
2730,178978816,3.9136,,,0.000245,87426,20.72,0.0000,,,,,
2740,179634176,4.0720,,,0.000245,87041,20.73,0.0000,,,,,
2750,180289536,4.1397,,,0.000244,87138,20.74,0.0000,,,,,
2760,180944896,3.7674,,,0.000244,87259,20.75,0.0000,,,,,
2770,181600256,3.9147,,,0.000243,87418,20.77,0.0000,,,,,
2780,182255616,4.0854,,,0.000243,87055,20.77,0.0000,,,,,
2790,182910976,4.0272,,,0.000243,87409,20.78,0.0000,,,,,
2800,183566336,4.1157,,,0.000242,87035,20.79,0.0000,,,,,
2810,184221696,3.8475,,,0.000242,86791,20.78,0.0000,,,,,
2820,184877056,3.8215,,,0.000241,87352,20.79,0.0000,,,,,
2830,185532416,3.9641,,,0.000241,86974,20.79,0.0000,,,,,
2840,186187776,3.9842,,,0.000240,86742,20.79,0.0000,,,,,
2850,186843136,3.8570,,,0.000240,87380,20.80,0.0000,,,,,
2860,187498496,3.8367,,,0.000239,86968,20.80,0.0000,,,,,
2870,188153856,3.8939,,,0.000239,87170,20.80,0.0000,,,,,
2880,188809216,3.9596,,,0.000238,87115,20.81,0.0000,,,,,
2890,189464576,3.9072,,,0.000238,87275,20.81,0.0000,,,,,
2900,190119936,3.9522,,,0.000237,86985,20.81,0.0000,,,,,
